dataset,detector,n_videos,n_real_videos,n_fake_videos,n_frames,clean_video_auc,clean_video_auc_ci_low,clean_video_auc_ci_high,d6_video_auc,d6_video_auc_ci_low,d6_video_auc_ci_high,auc_drop,auc_drop_pp,auc_drop_ci_low,auc_drop_ci_high,auc_drop_ci_low_pp,auc_drop_ci_high_pp,ci_excludes_zero,bootstrap_n,bootstrap_seed,identity_seed,clean_npz,d6_npz
FF++ c23,UCF,700,140,560,22388,0.9931122449,0.9887479408,0.9968010488,0.9466709184,0.9303664583,0.9625287995,0.0464413265,4.6441326531,0.0320534582,0.0603461376,3.2053458208,6.0346137627,True,1000,20260605,1024,ucf_d0_clean.npz,ucf_d6_combo30_50.npz
FF++ c23,LSDA,700,140,560,22388,0.9463392857,0.9268697565,0.9621292922,0.7994515306,0.7603020333,0.8366057190,0.1468877551,14.6887755102,0.1132349944,0.1797621705,11.3234994366,17.9762170508,True,1000,20260605,1024,lsda_d0_clean.npz,lsda_d6_combo30_50.npz
FF++ c23,Xception,700,140,560,22388,0.9893494898,0.9822416910,0.9945677187,0.9289795918,0.9070618972,0.9472877533,0.0603698980,6.0369897959,0.0436455708,0.0799949119,4.3645570806,7.9994911941,True,1000,20260605,1024,xception_gap_ffpp_d0_clean.npz,xception_gap_ffpp_d6_combo30_50.npz
FF++ c23,EfficientNet-B4,700,140,560,22388,0.9872576531,0.9805819519,0.9928321668,0.9431505102,0.9240157203,0.9597342134,0.0441071429,4.4107142857,0.0297467614,0.0604024584,2.9746761362,6.0402458448,True,1000,20260605,1024,effnb4_ffpp_d0_clean.npz,effnb4_ffpp_d6_combo30_50.npz
FF++ c23,SPSL,700,140,560,22388,0.9744132653,0.9632636565,0.9838023084,0.8853826531,0.8558283661,0.9099785521,0.0890306122,8.9030612245,0.0673450888,0.1138541084,6.7345088833,11.3854108356,True,1000,20260605,1024,spsl_gap_ffpp_d0_clean.npz,spsl_gap_ffpp_d6_combo30_50.npz
Celeb-DF-v2,UCF,518,178,340,16420,0.8374917383,0.8039778456,0.8728075457,0.7495869134,0.7051038139,0.7973146755,0.0879048249,8.7904824851,0.0566807787,0.1204288322,5.6680778679,12.0428832210,True,1000,20260605,1024,ucf_celebdf_d0_clean.npz,ucf_celebdf_d6_combo30_50.npz
Celeb-DF-v2,LSDA,518,178,340,16420,0.7990085922,0.7613936180,0.8406653238,0.6674322538,0.6228087564,0.7175041085,0.1315763384,13.1576338401,0.1061463647,0.1585932105,10.6146364744,15.8593210462,True,1000,20260605,1024,lsda_feat_celebdf_d0_clean.npz,lsda_feat_celebdf_d6_combo30_50.npz
Celeb-DF-v2,Xception,518,178,340,16420,0.8164904164,0.7798673490,0.8546027013,0.7385492399,0.6953636930,0.7811774999,0.0779411765,7.7941176471,0.0463473569,0.1114491254,4.6347356890,11.1449125431,True,1000,20260605,1024,xception_gap_celebdf_d0_clean.npz,xception_gap_celebdf_d6_combo30_50.npz
Celeb-DF-v2,EfficientNet-B4,518,178,340,16420,0.8081295440,0.7708899941,0.8433395725,0.7200760079,0.6767140906,0.7661225295,0.0880535360,8.8053536021,0.0617403299,0.1156236645,6.1740329853,11.5623664481,True,1000,20260605,1024,effnb4_celebdf_d0_clean.npz,effnb4_celebdf_d6_combo30_50.npz
Celeb-DF-v2,SPSL,518,178,340,16420,0.7986450760,0.7593810372,0.8365429493,0.6774124256,0.6307683040,0.7262006279,0.1212326504,12.1232650364,0.0851855695,0.1586694355,8.5185569545,15.8669435530,True,1000,20260605,1024,spsl_gap_celebdf_d0_clean.npz,spsl_gap_celebdf_d6_combo30_50.npz
