dataset,detector,d0_fdr,d6_fdr,fdr_ratio,ci_lower,ci_upper,valid_resamples
FF++ c23,UCF,4.8064919067535925,1.3345840705860408,0.2776628144761503,0.2362151803336392,0.32610036369129436,1000
FF++ c23,LSDA,0.5792873179011367,0.11409482332747906,0.19695722623596412,0.15777340066830442,0.2519686864644588,1000
FF++ c23,Xception,2.4827001115400424,0.7028098131196665,0.2830828459115454,0.2512931065407406,0.31433136297135855,1000
FF++ c23,EfficientNet-B4,2.754000168302856,0.9184574572278287,0.3334994194258983,0.30201533191329577,0.37053305458982383,1000
FF++ c23,SPSL,1.6160162776345133,0.5823024692007734,0.36033205683616887,0.31026580394650305,0.411660818039099,1000
Celeb-DF-v2,UCF,0.42501455058365484,0.17496280109534934,0.41166308507574667,0.3169584954514882,0.5250667610724117,1000
Celeb-DF-v2,LSDA,0.1460856222377317,0.07237599477613314,0.49543544167784315,0.3422047765494074,0.7024904691936479,1000
Celeb-DF-v2,Xception,0.2194590203813253,0.08669157611402509,0.39502398198712657,0.291837366224285,0.5168763586954616,1000
Celeb-DF-v2,EfficientNet-B4,0.29848989471090953,0.11725109306326252,0.3928142799501517,0.29667539250584984,0.49087617220278534,1000
Celeb-DF-v2,SPSL,0.2050898808111074,0.05440254675297204,0.2652619745928765,0.14080226820493622,0.41001073320554055,1000
